ID,X,Y,POTEAU_ID_POT,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN
154347,-73.5678552231442,45.514193017846296,217311,\P EN TOUT TEMPS,SD-TT,3
154404,-73.5653441222357,45.510058341969795,52606,\P EN TOUT TEMPS,SD-TT,0
154411,-73.55773096530591,45.530533594178294,8942,\P 07h-18h LUN. AU SAM.,SS-OC,0
154418,-73.56299063869629,45.501996858675,93229,\A EN TOUT TEMPS,AD-TT,0
154421,-73.58982423387671,45.492966973159,149147,\A EN TOUT TEMPS,AD-TT,0
154499,-73.567075319896,45.4927776568005,92780,\P 10h-11h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VE-A,0
154500,-73.567075319896,45.4927776568005,92780,\P RESERVE S3R 09h-23h,R-PF,0
154501,-73.56759662112259,45.4924891922431,96483,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0
154502,-73.56759662112259,45.4924891922431,96483,\P RESERVE S3R 09h-23h,R-PF,3
154503,-73.5669914962172,45.4914969209488,96461,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0
154504,-73.5672902502617,45.4911446990341,96462,\P RESERVE S3R 09h-23h,R-PF,3
154505,-73.5672902502617,45.4911446990341,96462,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0
154516,-73.5544039579842,45.518715167863206,13033,\P EN TOUT TEMPS,SD-TT,2
154584,-73.5602771854725,45.5188361637487,11695,P 15 min,PD-DT,3
154638,-73.55655510338441,45.5001960402581,159327,\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN.,SL-JC,3
154639,-73.55655510338441,45.5001960402581,159327,\P 07h30-08h30 LUN. JEU. 1 MARS AU 1 DEC.,SB-MV,0
154640,-73.55646691509341,45.5002995658852,159328,\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN.,SL-JC,2
154682,-73.5962929169533,45.5022240216955,216998,Arrêt d'autobus,BUS,0
154921,-73.5577916479517,45.5343313403905,28789,\A 08h-09h30 LUN. AU VEN.,AV-AB,0
154923,-73.5567941562686,45.5311279572793,149881,\P 10h-11h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VE-A,0
154930,-73.5559867452087,45.500632717312605,14011,\P 08h-17h LUN. AU VEN.,SV-JC,0
154940,-73.59491952645621,45.494086119819,93928,\A 08h-09h30 LUN. AU VEN.,AV-AB,0
154941,-73.59491952645621,45.494086119819,93928,\P 13h30-14h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VM-A,0
154942,-73.59491952645621,45.494086119819,93928,P 02h 09h30-18h LUN. AU VEN.,PV-JI,0
154951,-73.5782035703178,45.5011865962536,109886,\P DEUX COTES,SD-TC,0
155154,-73.5791842581459,45.499318745432504,25332,\P 07h-08h LUN. AU VEN. 1 MARS AU 1 DEC.,SV-AD,0
155155,-73.5791842581459,45.499318745432504,25332,\P EN TOUT TEMPS,SD-TT,3
155258,-73.5558653967925,45.5208747452937,34209,\P EN TOUT TEMPS,SD-TT,2
155293,-73.551125986566,45.5155859018888,38007,\A EN TOUT TEMPS,AD-TT,0
155361,-73.5757503806774,45.4952762756287,91509,\P 07h-08h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AD-A,0
155453,-73.58722288726729,45.49733323390329,75013,\P EN TOUT TEMPS,SD-TT,2
155613,-73.57457733202659,45.4956280767352,216254,\P 18h-24h,SD-SR,3
155615,-73.5746969023712,45.4956878382487,216253,\P 18h-24h,SD-SR,2
155669,-73.5655292856146,45.51142577950029,12496,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0
155670,-73.5661231348832,45.51169988900829,12497,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0
155671,-73.56822520095079,45.51262099051821,14698,\P EN TOUT TEMPS,SD-TT,0
155712,-73.58402119141859,45.490285352080704,97293,\A EN TOUT TEMPS,AD-TT,0
155714,-73.5843437199409,45.49047408185061,97292,\A EN TOUT TEMPS,AD-TT,0
155715,-73.5846702355216,45.4906583085234,163255,\A EN TOUT TEMPS,AD-TT,0
155717,-73.552421921247,45.507819680985605,92533,\A EN TOUT TEMPS,AD-TT,2
155720,-73.5516763925333,45.509061802888205,92555,\P 07h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-VA-A,0
155721,-73.5516763925333,45.509061802888205,92555,P 15 min 09h-21h,PD-JH,3
155722,-73.55110536752849,45.510920233372794,92593,\P 08h-17h LUN. AU VEN.,SV-JC,0
155723,-73.55110536752849,45.510920233372794,92593,\P RESERVE S3R 17h-23h,R-PJ,0
155724,-73.55121421865479,45.5109921719651,92594,\A EN TOUT TEMPS,AD-TT,3
155731,-73.55194553962029,45.5112258006028,11958,\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VA-A,0
155732,-73.55194553962029,45.5112258006028,11958,\P 09h-17h LUN. AU VEN.,SV-JH,3
155734,-73.55194553962029,45.5112258006028,11958,\P RESERVE S3R 09h-23h,R-PF,2
155735,-73.552039488335,45.5107488417014,11948,\P EN TOUT TEMPS,SD-TT,3
155736,-73.552039488335,45.5107488417014,11948,\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JA-A,0
155737,-73.552039488335,45.5107488417014,11948,\P RESERVE S3R 09h-23h,R-PF,2
155738,-73.58737263391599,45.4984939180345,100483,\P EN TOUT TEMPS,SD-TT,0
155740,-73.5857212256789,45.4995614839828,75050,\A EN TOUT TEMPS,AD-TT,0
155741,-73.5857212256789,45.4995614839828,75050,Arrêt d'autobus,BUS,0
155742,-73.5736319577562,45.500429266880104,63081,\P 06h30-07h30 LUN. AU VEN. 1 MARS AU 1 DEC.,SV-AB,0
155749,-73.5540052080758,45.5107254332377,11865,\P EN TOUT TEMPS,SD-TT,0
155755,-73.56177366858441,45.5011291745155,122552,\A EN TOUT TEMPS,AD-TT,0
155800,-73.55319443339009,45.5339911762506,172367,\P RESERVE S3R 09h-21h LUN A SAM,R-QD,2
155875,-73.5648605645207,45.5173516157215,216236,\A EN TOUT TEMPS,AD-TT,0
155988,-73.55219484815929,45.5105148119438,11946,\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JA-A,0
155989,-73.55219484815929,45.5105148119438,11946,\P RESERVE S3R 09h-23h,R-PF,2
155990,-73.5524742248144,45.5103122195294,11961,\P LIVRAISON SEULEMENT 08h-16h LUN. AU VEN.,SL-JB,2
155997,-73.55450138104291,45.509739870710106,98953,\A EN TOUT TEMPS,AD-TT,3
156081,-73.58427360568759,45.50297746654179,103863,\P EN TOUT TEMPS,SD-TT,0
156239,-73.5895233557614,45.493624095903705,89928,Arrêt d'autobus,BUS,2
156240,-73.5895233557614,45.493624095903705,89928,\A 08h-09h30  16h-18h LUN. AU VEN.,AV-QE,0
156255,-73.5616134466129,45.514077991924495,108254,\P DEUX COTES,SD-TC,0
156256,-73.56101919255791,45.51379936009629,12342,\P DEUX COTES,SD-TC,0
156286,-73.5908048421966,45.4914329613678,216219,\P EN TOUT TEMPS,SD-TT,3
156287,-73.5908048421966,45.4914329613678,216219,\P 13h30-14h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JM-A,2
156288,-73.5908048421966,45.4914329613678,216219,P 02h 08h-19h LUN. AU VEN.,PV-JL,2
156301,-73.5585521056073,45.5187317796554,13080,\P EN TOUT TEMPS,SD-TT,3
156321,-73.56226767071729,45.509609923429394,113781,\P EN TOUT TEMPS,SD-TT,0
156324,-73.566284825625,45.5179311954214,34683,Arrêt d'autobus,BUS,0
156325,-73.5655737040464,45.5176481560248,34689,\P EN TOUT TEMPS,SD-TT,3
156327,-73.5652127198146,45.5174908905443,34687,\A EN TOUT TEMPS,AD-TT,3
156328,-73.5652127198146,45.5174908905443,34687,\P EN TOUT TEMPS,SD-TT,2
156546,-73.56289477620759,45.5024288362159,215805,\A EN TOUT TEMPS,AD-TT,2
156587,-73.5669548890949,45.501459197141294,92171,\P EN TOUT TEMPS,SD-TT,2
156589,-73.5568381065202,45.511992835624596,181609,\A EN TOUT TEMPS,AD-TT,0
156658,-73.5659538773256,45.5178054092827,159779,Arrêt d'autobus,BUS,2
156659,-73.5529544983603,45.5338998281788,216201,\P EN TOUT TEMPS,SD-TT,3
156738,-73.5794512886395,45.4950038081802,55643,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0
156739,-73.5794512886395,45.4950038081802,55643,\P RESERVE S3R 09h-23h,R-PF,0
156747,-73.5790797757395,45.4946711235718,121398,\P 07h30-08h30 MAR. VEN. 1 MARS AU 1 DEC.,SB-VV,2
156748,-73.5790797757395,45.4946711235718,121398,\P 07h-18h LUN. AU SAM.,SS-OC,3
156749,-73.5793166724791,45.494810435200996,55651,\P 09h30-10h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VD-A,0
156750,-73.5793166724791,45.494810435200996,55651,\P RESERVE S3R 09h-23h,R-PF,3
156751,-73.5796432031095,45.494999175314,55652,\P 09h30-10h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VD-A,0
156752,-73.5796432031095,45.494999175314,55652,\P RESERVE S3R 09h-23h,R-PF,2
156753,-73.5796432031095,45.494999175314,55652,\P RESERVE S3R 17h-23h,R-PJ,3
156767,-73.581778580475,45.5048374555876,155888,Arrêt d'autobus,BUS,0
156816,-73.5734354593791,45.495691715629796,104953,Arrêt d'autobus,BUS,2
156817,-73.5734354593791,45.495691715629796,104953,\A 05h30-09h30  14h30-18h30 LUN A VEN,AV-RM,3
156829,-73.55795151494641,45.4998533998323,92713,\P DEUX COTES,SD-TC,0
156850,-73.552831598924,45.496449973723706,158271,\A EN TOUT TEMPS,AD-TT,3
156851,-73.5524503029465,45.4961846954285,111687,\A EN TOUT TEMPS,AD-TT,0
156880,-73.5674017183354,45.4962353416895,91196,\A EN TOUT TEMPS,AD-TT,3
156881,-73.5674017183354,45.4962353416895,91196,\A 08h-09h30 LUN. AU VEN.,AV-AB,0
156926,-73.5686288369739,45.5103801429045,34449,\A EN TOUT TEMPS,AD-TT,0
156928,-73.5685678618042,45.5105556486842,129702,\P 12h-13h LUN. 1 AVRIL AU 1 DEC.,SU-LJ-A,0
156929,-73.5685678618042,45.5105556486842,129702,\P RESERVE S3R 09h-23h,R-PF,0
156930,-73.56825089684149,45.510722309242894,129699,\P 12h-13h MAR. 1 AVRIL AU 1 DEC.,SU-MJ-A,0
156931,-73.56825089684149,45.510722309242894,129699,\P RESERVE S3R 09h-23h,R-PF,3
156932,-73.5679956765732,45.5110014124039,129705,\A EN TOUT TEMPS,AD-TT,2
156933,-73.5679956765732,45.5110014124039,129705,\P 12h-13h MAR. 1 AVRIL AU 1 DEC.,SU-MJ-A,3
156935,-73.5634535455904,45.506450824571196,121401,\A 05h30-09h30  14h30-18h30 LUN A VEN,AV-RM,0
156937,-73.58096833177521,45.490858958383,91015,\P 10h-11h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VE-A,0
156938,-73.58096833177521,45.490858958383,91015,\P RESERVE S3R 09h-23h,R-PF,2
156972,-73.57057147022721,45.49285901097,57678,\P EN TOUT TEMPS,SD-TT,0
157010,-73.5531739321911,45.518172009371206,13045,\P EN TOUT TEMPS,SD-TT,0
157011,-73.553990565511,45.50294630233461,94406,\P RESERVE AUTOBUS,R-AU,2
157013,-73.553990565511,45.50294630233461,94406,Arrêt d'autobus,BUS,0
157016,-73.5539776560597,45.5032432566334,102611,Arrêt d'autobus,BUS,2
157018,-73.5675802885692,45.4937561651139,88619,\A 08h-09h30 LUN. AU VEN.,AV-AB,0
157019,-73.5675802885692,45.4937561651139,88619,\P 09h30-10h30 LUN. MER. JEU. 1 AVRIL AU 1 DEC.,ST-AL-A,0
157020,-73.5675802885692,45.4937561651139,88619,\P RESERVE S3R 16h-23h     (2 SECTEURS),R-RL-2S,2
157021,-73.5665414537988,45.4916466392258,58397,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0
157023,-73.576920923456,45.4998422012247,164601,\P 18h-24h,SD-SR,2
157097,-73.5570877647952,45.5037726520193,93696,\A EN TOUT TEMPS,AD-TT,0
157154,-73.564937572077,45.503966424749,93156,\P 08h-09h LUN. JEU. 1 MARS AU 1 DEC.,SB-JA,0
157173,-73.5620829846334,45.5096820113117,12507,\P EN TOUT TEMPS,SD-TT,0
157189,-73.5766170099087,45.5007197528589,159634,\P 08h-18h LUN. AU VEN.,SV-OD,3
157221,-73.5482233441435,45.520761247786396,74994,\A EN TOUT TEMPS,AD-TT,0
157459,-73.56488903518179,45.5156733962664,14811,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0
157460,-73.56254668827009,45.5318673192037,25582,Arrêt d'autobus,BUS,2
157461,-73.56254668827009,45.5318673192037,25582,\A 15h30-17h30 LUN. AU VEN.,AV-PB,0
157571,-73.558544487446,45.5025211329305,215064,\P 07h-08h LUN. AU VEN. 1 MARS AU 1 DEC.,SV-AD,0
157588,-73.55033489797229,45.5134221350818,213871,\P DEUX COTES,SD-TC,0
157590,-73.55016917286541,45.513719155637,213872,\P DEUX COTES,SD-TC,0
157592,-73.5500054674186,45.5140296726715,213873,\P DEUX COTES,SD-TC,0
157601,-73.55303309292191,45.508345806585105,115675,\A EN TOUT TEMPS DES DEUX COTES,AD-DC,3
157606,-73.5569371170362,45.497140881040295,144366,\P EN TOUT TEMPS,SD-TT,0
157614,-73.5667078412011,45.5160817762793,214270,P 15 MIN. RESERVE HOTEL,PD-TD,3
157615,-73.5667078412011,45.5160817762793,214270,\P RESERVE S3R 09h-23h,R-PF,2
157617,-73.5544905028238,45.505920045443,115660,\P EN TOUT TEMPS,SD-TT,0
157624,-73.56647376972421,45.51057488331139,216416,\P EN TOUT TEMPS,SD-TT,2
157627,-73.56621789015121,45.510309578576404,52589,\A EN TOUT TEMPS,AD-TT,0
157629,-73.56595875829241,45.51033672375279,216322,\A EN TOUT TEMPS,AD-TT,3
157646,-73.54811319833641,45.528814246676,216142,\P RESERVE S3R 09h-23h,R-PF,2
157690,-73.5616521417836,45.5128856812149,159747,\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-AB-A,0
157692,-73.5619406541575,45.513016002150096,159748,\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-AB-A,0
157694,-73.5621945094763,45.5132633206136,12182,\P EN TOUT TEMPS,SD-TT,2
157885,-73.5638079736293,45.520704114412496,138510,\P RESERVE TITULAIRES DE PERMIS,R-DP,0
157939,-73.5665853876971,45.5163742960311,100118,\A POMPIER URGENCE,AD-TU,2
157940,-73.5665853876971,45.5163742960311,100118,\P RESERVE S3R 09h-23h,R-PF,3
157962,-73.55787274384191,45.5045371234521,88806,\A EN TOUT TEMPS,AD-TT,2
157963,-73.55787274384191,45.5045371234521,88806,\P RESERVE TAXIS,R-TA,3
157964,-73.5580380895755,45.5043225710274,88804,\P RESERVE TAXIS,R-TA,2
157970,-73.56864135043,45.5002794013678,105024,\A 05h30-09h30  14h30-18h30 LUN A VEN,AV-RM,0
157972,-73.5680998122003,45.5008511260715,158455,\A EN TOUT TEMPS,AD-TT,2
158013,-73.55943491279791,45.5061920318369,34692,\A EN TOUT TEMPS,AD-TT,2
158014,-73.55943491279791,45.5061920318369,34692,\P EN TOUT TEMPS,SD-TT,3
158057,-73.57148496792591,45.495003915152104,216124,\P EN TOUT TEMPS,SD-TT,3
158059,-73.57136725054409,45.4949486483333,216123,\P EN TOUT TEMPS,SD-TT,2
158061,-73.5662763446516,45.513094554631,77461,\A 07h-09h30 LUN. AU VEN.,AV-AA,0
158063,-73.5794716831305,45.4958586460246,216122,Arrêt d'autobus,BUS,2
158066,-73.57937655895701,45.49588120826861,62502,Arrêt d'autobus,BUS,0
158082,-73.5845789886635,45.50128103643271,156157,P 60 min 09h-17h LUN A VEN,PV-OF,0
158083,-73.5815933959044,45.5042706870473,75384,Arrêt d'autobus,BUS,3
158085,-73.5783310179656,45.5048578685435,131296,\A EN TOUT TEMPS,AD-TT,0
158097,-73.55395455720209,45.502505396237794,133012,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,0
158114,-73.5699291845907,45.499504754807795,91812,Arrêt d'autobus,BUS,0
158116,-73.5766170288926,45.4998469046754,57494,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0
158117,-73.55950983193979,45.5173320325089,117060,\P DEUX COTES,SD-TC,0
158123,-73.5487230586727,45.521791352706,26968,\P 09h-17h LUN. MER. JEU.,ST-JJ,0
158124,-73.5487230586727,45.521791352706,26968,\P EN TOUT TEMPS,SD-TT,3
158125,-73.5830111421938,45.4961710741911,91448,\P LIVRAISON SEULEMENT 09h-17h LUN. AU VEN.,SL-JH,2
158126,-73.5830111421938,45.4961710741911,91448,\P 07h30-08h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VV-A,0
158127,-73.5830111421938,45.4961710741911,91448,\P RESERVE S3R 09-23h       (2 SECTEURS),R-PF-2S,3
158192,-73.58192404998671,45.489611991537195,100525,\A EN TOUT TEMPS,AD-TT,0
158231,-73.5686986201863,45.50002291154429,165207,P 15 MIN. RESERVE HOTEL,PD-TD,3
158232,-73.5686986201863,45.50002291154429,165207,\P RESERVE TAXIS,R-TA,2
158234,-73.60167915878779,45.495566584812295,62361,\A 14h30-18h30 LUN A VEN,AV-PR,0
158238,-73.600522977146,45.4956530933075,54947,\A 14h30-18h30 LUN A VEN,AV-PR,0
158241,-73.599479735976,45.4956180128298,62368,\A 14h30-18h30 LUN A VEN,AV-PR,0
158243,-73.5981573708549,45.49556516613,187512,\A 14h30-18h30 LUN A VEN,AV-PR,0
158245,-73.5981573708549,45.49556516613,187512,Arrêt d'autobus,BUS,2
158252,-73.5971014542805,45.4958360218542,56083,P A ANGLE,PD-TA,2
158253,-73.5971014542805,45.4958360218542,56083,\P 12h30-13h30 VEN. 1 MARS AU 1 DEC.,SU-VK,0
158254,-73.5971014542805,45.4958360218542,56083,P 02h 08h-18h LUN. AU VEN.,PV-JK,0
158268,-73.5956190036707,45.4954548385995,136004,Arrêt d'autobus,BUS,0
158269,-73.5956190036707,45.4954548385995,136004,\P EN TOUT TEMPS,SD-TT,0
158270,-73.5956190036707,45.4954548385995,136004,\A 14h30-18h30 LUN A VEN,AV-PR,0
158273,-73.5944577385623,45.4953748187766,136008,\A 14h30-18h30 LUN A VEN,AV-PR,0
158275,-73.5944577385623,45.4953748187766,136008,\P EN TOUT TEMPS,SD-TT,0
158276,-73.5888591495565,45.4958472300795,136135,\P EN TOUT TEMPS,SD-TT,0
158277,-73.5888591495565,45.4958472300795,136135,\A 14h30-18h30 LUN A VEN,AV-PR,0
158351,-73.57003755992841,45.50564161842689,122183,\P 07h30-08h30 LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AE-A,0
158352,-73.57003755992841,45.50564161842689,122183,\P RESERVE MOTOS,R-MO,0
158354,-73.5699463656857,45.5055781634107,216380,\P RESERVE MOTOS,R-MO,2
158373,-73.58977077736671,45.4925710835277,153394,\A EN TOUT TEMPS,AD-TT,3
158374,-73.54654105692529,45.5287435227921,71853,\A 16h-18h LUN. AU VEN.,AV-PJ,0
158375,-73.5475158065016,45.528000754305296,76282,\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS,RD-TT,2
158376,-73.5475941479301,45.5279152369785,76268,\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS,RD-TT,3
158378,-73.54763730594391,45.5278567294474,71841,\P 06h-07h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AA-A,0
158458,-73.58557036030159,45.5000070196566,75053,\A EN TOUT TEMPS,AD-TT,3
158459,-73.58557036030159,45.5000070196566,75053,Arrêt d'autobus,BUS,2
158462,-73.564907023989,45.498607875183794,174985,\A RESERVE AUTOBUS,AR-TT,0
158463,-73.5651431425033,45.498432271243495,91242,\A RESERVE AUTOBUS,AR-TT,0
158527,-73.5731211062705,45.4931543560752,57275,\P LIVRAISON SEULEMENT 07h-19h,SL-JV,0
158529,-73.5708617951647,45.4929083226935,57688,\P RESERVE S3R 09h-23h,R-PF,2
158530,-73.5708617951647,45.4929083226935,57688,\P 09h30-10h30 JEU. 1 MARS AU 1 DEC.,SU-JD,0
158535,-73.5700890846336,45.4955993342611,214412,\A EN TOUT TEMPS,AD-TT,3
158537,-73.57265904920409,45.495440255741606,94788,Arrêt d'autobus,BUS,8
158538,-73.57265904920409,45.495440255741606,94788,\A 16h-18h LUN. AU VEN.,AV-PJ,0
158544,-73.5771552333245,45.4948524085587,62523,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,3
158546,-73.5771552333245,45.4948524085587,62523,Arrêt d'autobus,BUS,2
158547,-73.5770544199389,45.494811983612,62524,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,2
158549,-73.576111066273,45.494412185313394,62533,\P 18h30 A 24h00,SD-SS,2
158551,-73.576111066273,45.494412185313394,62533,Arrêt d'autobus,BUS,3
158554,-73.58355868805259,45.496506262836895,215719,Arrêt d'autobus,BUS,2
158560,-73.58321296801691,45.4963778914918,62418,\A 07h-09h30 LUN. AU VEN.,AV-AA,0
158562,-73.58321296801691,45.4963778914918,62418,\P EN TOUT TEMPS,SD-TT,0
